Prop001,ANDN920101
Prop002,ARGP820101
Prop003,ARGP820102
Prop004,ARGP820103
Prop005,BEGF750101
Prop006,BEGF750102
Prop007,BEGF750103
Prop008,BHAR880101
Prop009,BIGC670101
Prop010,BIOV880101
Prop011,BIOV880102
Prop012,BROC820101
Prop013,BROC820102
Prop014,BULH740101
Prop015,BULH740102
Prop016,BUNA790101
Prop017,BUNA790102
Prop018,BUNA790103
Prop019,BURA740101
Prop020,BURA740102
Prop021,CHAM810101
Prop022,CHAM820101
Prop023,CHAM820102
Prop024,CHAM830101
Prop025,CHAM830102
Prop026,CHAM830103
Prop027,CHAM830104
Prop028,CHAM830105
Prop029,CHAM830106
Prop030,CHAM830107
Prop031,CHAM830108
Prop032,CHOC750101
Prop033,CHOC760101
Prop034,CHOC760102
Prop035,CHOC760103
Prop036,CHOC760104
Prop037,CHOP780101
Prop038,CHOP780201
Prop039,CHOP780202
Prop040,CHOP780203
Prop041,CHOP780204
Prop042,CHOP780205
Prop043,CHOP780206
Prop044,CHOP780207
Prop045,CHOP780208
Prop046,CHOP780209
Prop047,CHOP780210
Prop048,CHOP780211
Prop049,CHOP780212
Prop050,CHOP780213
Prop051,CHOP780214
Prop052,CHOP780215
Prop053,CHOP780216
Prop054,CIDH920101
Prop055,CIDH920102
Prop056,CIDH920103
Prop057,CIDH920104
Prop058,CIDH920105
Prop059,COHE430101
Prop060,CRAJ730101
Prop061,CRAJ730102
Prop062,CRAJ730103
Prop063,DAWD720101
Prop064,DAYM780101
Prop065,DAYM780201
Prop066,DESM900101
Prop067,DESM900102
Prop068,EISD840101
Prop069,EISD860101
Prop070,EISD860102
Prop071,EISD860103
Prop072,FASG760101
Prop073,FASG760102
Prop074,FASG760103
Prop075,FASG760104
Prop076,FASG760105
Prop077,FAUJ830101
Prop078,FAUJ880101
Prop079,FAUJ880102
Prop080,FAUJ880103
Prop081,FAUJ880104
Prop082,FAUJ880105
Prop083,FAUJ880106
Prop084,FAUJ880107
Prop085,FAUJ880108
Prop086,FAUJ880109
Prop087,FAUJ880110
Prop088,FAUJ880111
Prop089,FAUJ880112
Prop090,FAUJ880113
Prop091,FINA770101
Prop092,FINA910101
Prop093,FINA910102
Prop094,FINA910103
Prop095,FINA910104
Prop096,GARJ730101
Prop097,GEIM800101
Prop098,GEIM800102
Prop099,GEIM800103
Prop100,GEIM800104
